Stp	Dv	Time	Temp	R_DS_On	DevI	DevV	Fault
97	0	0.980	366.502	0.015	109.484	3.665	1
97	1	0.980	372.574	0.015	0.000	2.531	0
97	2	0.980	363.314	0.015	50.578	17.048	0
97	3	0.980	369.221	0.015	110.624	33.557	1
98	0	0.990	366.350	0.015	48.742	53.785	1
98	1	0.990	373.101	0.015	84.364	19.360	1
98	2	0.990	363.068	0.015	39.999	34.774	0
98	3	0.990	369.531	0.015	74.428	10.212	0
99	0	1.000	366.097	0.015	41.245	79.825	1
99	1	1.000	372.917	0.015	49.777	33.023	0
99	2	1.000	363.947	0.015	94.939	34.176	1
99	3	1.000	370.149	0.015	87.021	82.783	0
100	0	1.010	367.520	0.015	112.790	25.483	1
100	1	1.010	372.406	0.015	18.088	10.005	0
100	2	1.010	364.488	0.015	82.555	63.115	0
100	3	1.010	369.900	0.015	43.754	30.161	0
101	0	1.020	369.793	0.015	135.530	0.000	1
101	1	1.020	374.255	0.015	125.584	45.739	1
101	2	1.020	365.400	0.015	96.383	34.035	1
101	3	1.020	370.940	0.015	101.803	55.159	0
102	0	1.030	371.630	0.015	124.878	0.000	1
102	1	1.030	374.238	0.015	60.241	54.075	1
102	2	1.030	365.358	0.015	55.184	60.863	1
102	3	1.030	371.810	0.015	96.382	36.071	1
103	0	1.040	371.137	0.015	19.528	20.205	0
103	1	1.040	376.593	0.015	138.413	0.000	1
103	2	1.040	367.318	0.015	127.393	34.106	1
103	3	1.040	371.347	0.015	24.201	6.335	0
104	0	1.050	372.981	0.015	125.267	24.410	1
104	1	1.050	377.204	0.015	88.552	48.021	0
104	2	1.050	368.120	0.015	93.177	27.906	1
104	3	1.050	370.836	0.015	15.817	0.000	0
105	0	1.060	375.215	0.015	135.350	72.404	0
105	1	1.060	376.781	0.015	33.359	67.873	1
105	2	1.060	369.889	0.015	122.814	17.124	1
105	3	1.060	371.881	0.015	102.163	80.324	0
106	0	1.070	374.686	0.015	17.878	80.071	1
106	1	1.070	377.572	0.015	95.040	65.303	0
106	2	1.070	369.422	0.015	21.530	13.548	0
106	3	1.070	372.491	0.015	87.330	32.724	1
107	0	1.080	374.214	0.015	25.891	57.404	1
107	1	1.080	379.597	0.015	130.852	0.000	1
107	2	1.080	369.023	0.015	29.915	34.631	0
107	3	1.080	371.933	0.015	0.000	75.114	1
108	0	1.090	373.644	0.015	0.000	49.478	1
108	1	1.090	381.320	0.015	123.444	47.461	0
108	2	1.090	368.492	0.015	0.000	35.843	0
108	3	1.090	375.024	0.015	154.600	35.312	1
109	0	1.100	374.932	0.015	110.215	23.048	1
109	1	1.100	382.836	0.015	118.117	15.753	1
109	2	1.100	371.085	0.015	143.210	19.491	1
109	3	1.100	374.789	0.015	47.268	48.094	1
110	0	1.110	375.631	0.015	91.356	29.190	1
110	1	1.110	383.590	0.015	95.142	1.865	1
110	2	1.110	370.824	0.015	43.392	81.350	1
110	3	1.110	374.214	0.015	0.000	83.359	1
111	0	1.120	375.390	0.015	47.205	1.277	0
111	1	1.120	383.066	0.015	27.502	2.501	0
111	2	1.120	372.653	0.015	124.810	79.152	0
111	3	1.120	375.079	0.015	96.975	45.729	1
112	0	1.130	374.869	0.015	19.425	0.000	0
112	1	1.130	382.438	0.015	7.888	23.998	0
112	2	1.130	372.104	0.015	8.119	52.899	1
112	3	1.130	376.686	0.015	119.541	0.000	1
113	0	1.140	374.649	0.015	48.283	65.586	1
113	1	1.140	382.319	0.015	57.828	17.399	0
113	2	1.140	372.016	0.015	55.320	27.749	0
113	3	1.140	378.208	0.015	117.499	84.181	0
114	0	1.150	375.625	0.015	100.712	35.683	1
114	1	1.150	381.822	0.015	29.555	44.523	0
114	2	1.150	371.489	0.015	13.191	5.135	0
114	3	1.150	378.087	0.015	55.948	53.570	1
115	0	1.160	375.189	0.015	30.885	11.478	0
115	1	1.160	381.329	0.015	29.602	29.901	0
115	2	1.160	371.572	0.015	64.479	23.597	0
115	3	1.160	377.487	0.015	0.000	21.893	0
116	0	1.170	377.108	0.015	127.815	6.159	1
116	1	1.170	380.705	0.015	0.000	0.000	0
116	2	1.170	371.845	0.015	73.482	40.951	0
116	3	1.170	379.931	0.015	140.941	0.000	1
117	0	1.180	376.515	0.015	0.000	0.000	0
117	1	1.180	381.214	0.015	85.776	93.873	0
117	2	1.180	372.477	0.015	88.145	13.410	1
117	3	1.180	380.966	0.015	103.702	0.000	1
118	0	1.190	376.331	0.015	51.383	37.928	0
118	1	1.190	380.654	0.015	20.292	25.468	0
118	2	1.190	374.159	0.015	121.190	12.787	1
118	3	1.190	383.252	0.015	137.697	6.440	1
119	0	1.200	375.852	0.015	26.406	37.399	0
119	1	1.200	380.151	0.015	27.491	0.000	0
119	2	1.200	376.354	0.015	134.567	19.787	1
119	3	1.200	386.283	0.015	154.600	21.016	1
120	0	1.210	375.321	0.015	18.560	55.558	1
120	1	1.210	380.999	0.015	97.701	73.325	0
120	2	1.210	376.881	0.015	85.317	69.547	0
120	3	1.210	385.849	0.015	38.446	31.696	0
121	0	1.220	378.322	0.015	153.047	63.579	0
121	1	1.220	381.884	0.015	99.134	34.155	1
121	2	1.220	376.510	0.015	37.900	46.927	0
121	3	1.220	387.323	0.015	117.731	8.525	1
122	0	1.230	377.720	0.015	0.000	68.497	1
122	1	1.230	381.763	0.015	57.446	25.077	0
122	2	1.230	376.123	0.015	36.256	14.861	0
122	3	1.230	388.635	0.015	113.446	45.124	1
123	0	1.240	377.962	0.015	74.018	75.490	1
123	1	1.240	381.951	0.015	72.926	43.920	0
123	2	1.240	375.538	0.015	0.000	0.000	0
123	3	1.240	389.913	0.015	112.706	51.774	0
124	0	1.250	377.390	0.015	13.294	6.946	0
124	1	1.250	382.075	0.015	70.017	56.870	1
124	2	1.250	376.050	0.015	84.556	0.000	1
124	3	1.250	390.651	0.015	96.190	15.107	1
125	0	1.260	377.957	0.015	87.111	46.194	1
125	1	1.260	382.031	0.015	61.760	42.545	0
125	2	1.260	375.676	0.015	37.092	53.290	1
125	3	1.260	391.351	0.015	95.043	45.352	1
126	0	1.270	380.245	0.015	137.344	29.285	1
126	1	1.270	381.402	0.015	0.000	0.000	0
126	2	1.270	376.756	0.015	104.256	65.542	0
126	3	1.270	391.502	0.015	74.264	71.553	1
127	0	1.280	380.153	0.015	58.430	0.000	0
127	1	1.280	380.777	0.015	0.000	45.003	0
127	2	1.280	377.818	0.015	103.910	13.234	1
127	3	1.280	393.147	0.015	123.271	64.953	0
128	0	1.290	382.253	0.015	133.109	0.000	1
128	1	1.290	381.965	0.015	108.570	50.222	0
128	2	1.290	378.006	0.015	71.665	27.928	0
128	3	1.290	394.829	0.015	124.523	13.151	1
129	0	1.300	384.659	0.015	140.680	17.071	1
129	1	1.300	383.156	0.015	108.931	0.000	1
129	2	1.300	379.101	0.015	105.182	17.976	1
129	3	1.300	394.710	0.015	62.581	37.034	0
130	0	1.310	384.011	0.015	2.407	94.400	1
130	1	1.310	385.358	0.015	135.996	75.662	0
130	2	1.310	379.041	0.015	59.789	20.364	0
130	3	1.310	394.077	0.015	24.261	63.343	1
131	0	1.320	385.482	0.015	117.325	45.114	1
131	1	1.320	385.380	0.015	66.305	19.096	0
131	2	1.320	378.520	0.015	23.688	6.900	0
131	3	1.320	395.440	0.015	116.108	66.426	0
132	0	1.330	385.329	0.015	57.152	39.844	0
132	1	1.330	385.619	0.015	76.200	13.749	0
132	2	1.330	379.302	0.015	95.089	76.141	0
132	3	1.330	394.788	0.015	22.311	84.904	1
133	0	1.340	386.969	0.015	122.154	41.382	1
133	1	1.340	384.975	0.015	8.874	0.000	0
133	2	1.340	381.186	0.015	127.567	84.913	0
